questions,true_answers,predicted_answers,retrieved_docs,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
What were the earliest priesthoods? ,flamines,flamines,"[Document(id=3c9b5484de418625b08e3d8f4e3c3398f40f2f5af0bbf48528ee46ea38c64e7c, content: ' In household cult, the paterfamilias functioned as priest, and members of his familia as acolytes a...', meta: {'name': 'Religion_in_ancient_Rome', 'source_id': '5539950aa68a34aaa32ce17890e29473510376f98e0ff668c55f32354d881f90', 'page_number': 1}, score: 0.5133148969949781)]",1.0,1.0,1.0,1.0,1.0
When was a third visit to Mnafeld scheduled? ,early 1546,11 May 1944,"[Document(id=c58958638fa47dad60cf7d7556802e28d387d9bdc8b406eb23f39fcb8c5a5b19, content: ' The descriptions of these were published in Memoir III of the Australian Museum Sydney between 1896...', meta: {'name': 'Tuvalu', 'source_id': '4a4e309bc4b63f2a542d80bca7c9d33d9df6ccfa328612b01483ad5d2101621d', 'page_number': 1}, score: 0.3557680082127386)]",0.0,0.31558167934417725,0.0,0.0,0.0
What was the name of the airfield where heavy raids took place?,Farnborough,Coventry,"[Document(id=93c78551f27ece2b380d8a30b1c8852063e2afe373bf66ac0ff8fc705d37f96c, content: ' On 19 November 1940 the famous RAF night fighter ace John Cunningham shot down a Ju 88 bomber using...', meta: {'name': 'The_Blitz', 'source_id': 'fea4ab1f340714cf83574f4d286ac91905b5e48ca1b66018f16a22a73ba1bcbf', 'page_number': 1}, score: 0.5463814161451065)]",1.0,0.4347962439060211,1.0,1.0,1.0
The Modern English ending -'s is derived from what ending in Old English?,-es,-es,"[Document(id=e9007dae49d8af7b7fa7932aef22bbdc01132df7a83250c1516203d03c7a8b4b, content: ' It is most “important to recognize that in many words the English and Scandinavian language differe...', meta: {'name': 'Old_English', 'source_id': '499102fb98655495aa1290f40a7501a80d34498ace9fe691454bd3cbff83f7cd', 'page_number': 1}, score: 0.5029416489492136)]",1.0,0.9999998807907104,1.0,1.0,1.0
In what area is it common for spiritual mentorship to be extremely high?,the West,Hinduism,"[Document(id=b43e607046d3a9f2878f76721d6d75cb6c46d2bdb38f6b3fdc5f1b9a2f23a163, content: '
In The Church of Jesus Christ of Latter-day Saints (LDS Church), the teacher is an office in the Aa...', meta: {'name': 'Teacher', 'source_id': '8d3b7bd3176a10380300a49fa713b8fffa5e77a181df51ea823d2bdeb46d4c7b', 'page_number': 1}, score: 0.48577817227393083)]",1.0,0.20152541995048523,1.0,1.0,1.0
Who is the only Greek volleyball club to win European titles?,Olympiacos,no other nation has won more than 4 Euroleague championships in this period,"[Document(id=9c5e4e5ebe04f6d60e8e13bc3cfe5cd0c8fa7c41c1148c916c472a26ca7c677b, content: ' Their best ever performance was in the 1896 Summer Olympics, when Greece finished second in the med...', meta: {'name': 'Greece', 'source_id': '13d8bb8decd2812a2721cd8f6ecffbf13e7a3bc07776ab008e28497e15162217', 'page_number': 1}, score: 0.6432507807845881)]",1.0,0.2148960381746292,1.0,1.0,1.0
How many judges were on the panel for this season?,four,thirteenth,"[Document(id=498709ffe86307d8d0f5b856b64133d5f9caef82e404024b6d06f89e0f2b0818, content: '. Lopez, Urban and Connick, Jr. all returned as judges for the show's fourteenth and fifteenth seaso...', meta: {'name': 'American_Idol', 'source_id': '0ab0bf3d7b34caba79d26524c23f7e26f93bc7c5b29888839e9a63b4e42fa52b', 'page_number': 1}, score: 0.6107974944476209)]",1.0,0.4162346124649048,1.0,1.0,1.0
"Along with a chemical process, what type of process is used by night vision devices to convert infrared into visible light?",electrical,electrical,"[Document(id=2296ed852027297f8181dc1f64af4fcbb66e36bb282c6197423888ce9d011df5, content: '9–14 μm) and produce images of that radiation. Since infrared radiation is emitted by all objects ba...', meta: {'name': 'Infrared', 'source_id': 'ba9d9843065facd8aa75e472f0c7d760ae3d78712335a49f7abaf499acb21d1c', 'page_number': 1}, score: 0.6525550298431104)]",1.0,1.0,1.0,1.0,1.0
The second most prominent religion in New York is what?,Judaism,Judaism,"[Document(id=5dac70957842f214d4c60f76564b27a7e657cd237c677ed236d1ed1ca76e360f, content: '
Christianity (59%), particularly Catholicism (33%), was the most prevalently practiced religion in ...', meta: {'name': 'New_York_City', 'source_id': '8a1509d057a51ed7a68b42ff87df5d459ac7f15f3d0f4f1685859ba197f9686d', 'page_number': 1}, score: 0.6477764778542375)]",1.0,1.0000001192092896,1.0,1.0,1.0
The Free Hanseatic City of Bremen includes which cities?,Bremen and Bremerhaven,Bremen and Bremerhaven,"[Document(id=48379d700246108e0c3da307a3a8e5de24d8bee4044a5988144f1d9cd57b09c2, content: 'Germany is a federal republic consisting of sixteen federal states (German: Bundesland, or Land).[a]...', meta: {'name': 'States_of_Germany', 'source_id': '60764e89141121f734e956aeeb48fcbe12c7e4fdec683c4f9fa29406a3f0579e', 'page_number': 1}, score: 0.5043829724168043)]",1.0,1.0000001192092896,1.0,1.0,1.0
What seeks to limit the use of polysyllabic characters?,CPC,fullwidth forms,"[Document(id=8c55128e915db91be79f675390a7251853ff83d2c6945bcbba98c2fef9e723ac, content: ' For example, the ""fullwidth forms"" section of code points encompasses a full Latin alphabet that is...', meta: {'name': 'Unicode', 'source_id': '5466bae2d66ecdb546af3cc34795de9f594465bd49e997a8c32cca0dc3b5d1e2', 'page_number': 1}, score: 0.6069345349817818)]",0.0,0.15829457342624664,0.0,0.0,0.0
In what courts can federal habeas corpus suits be brought?,federal,Delaware Court of Chancery,"[Document(id=469c080219c9489ab9349edb6b97e1bd27a0c1447462a4449f67449be9ec591e, content: '9 million juvenile cases. In 2010, state appellate courts received 272,795 new cases. By way of comp...', meta: {'name': 'Law_of_the_United_States', 'source_id': 'bf8a791338bf99b4b7bdcb9792bf47d76e6ef5bfb9301a2ff1ebf19bd80a77d5', 'page_number': 1}, score: 0.6048466371742737)]",0.0,0.18627992272377014,0.0,0.0,0.0
What did Whitehead consider himself as a philosopher? ,rank amateur,one of the 20th century's foremost metaphysicians,"[Document(id=645c5e4f8126b7f8b45cf02dc6a818511eead3620792f162523eacd0e5908ee5, content: '"" Ironically, in later life Whitehead would become one of the 20th century's foremost metaphysicians...', meta: {'name': 'Alfred_North_Whitehead', 'source_id': '8117b81ebe7588c941510f73f8227e3b220b56755171cb0418fdd752bb385bda', 'page_number': 1}, score: 0.5103405273843459)]",1.0,0.14327546954154968,1.0,1.0,1.0
What condition does a person have to meet to  be allowed by law on a coin?,deceased,legal tender,"[Document(id=20272f837f8ae191cb2ca1c0c96912e627a2509f85e2d6f9240c270f8fbec035, content: '
Early releases of the Washington coin included error coins shipped primarily from the Philadelphia ...', meta: {'name': 'United_States_dollar', 'source_id': '9ef37368424d1caed6a07c85856757a87fc5eb888868448328b70e21e5c46a4a', 'page_number': 1}, score: 0.40843243316554156)]",1.0,0.198892742395401,1.0,1.0,1.0
Which region of the US experiences rain year round?,Pacific Northwest,lower 48,"[Document(id=e9b45d40d16f3341089b2285741ef7c3e78ad43c5d994970bf132f2e7690b72c, content: ' city of more than 250,000 people; it also ranks highly in winter precipitation. Conversely, the cit...', meta: {'name': 'Seattle', 'source_id': '1c1a54ff037a1e964929dc466a4a876fa6bb7609d7737ba7226bcd2ab49385cf', 'page_number': 1}, score: 0.5856120305100194)]",0.0,0.24463695287704468,0.0,0.0,0.0
What is the ability to recognize and adapt to new specific pathogens called?,Adaptive (or acquired) immunity,adaptive immune system,"[Document(id=21f2466ad0edc49315abfe01f4ddac2a7deb20ca58dccc9ebe7ccdf8dfd7b71d, content: ' If pathogens successfully evade the innate response, vertebrates possess a second layer of protecti...', meta: {'name': 'Immune_system', 'source_id': 'fcb8c5092b2596a66d4f96587d653cbabda606874d86632c35ec40ef8f023051', 'page_number': 1}, score: 0.6230771628644063)]",1.0,0.863671064376831,1.0,1.0,1.0
Who allegedly hit a home run to the Center?,Babe Ruth,Sammy Sosa,"[Document(id=2b19113a3f895a730fab4b460fee948bcaf23a55f4cd47402da918fb0a4107e3, content: ' When Cubs outfielder Rick Monday noticed the flag on the ground and the man and boy fumbling with m...', meta: {'name': 'Chicago_Cubs', 'source_id': '10bd5330115a2fe2b9ef60d21abe3942769709161783409af0c4444ccac129c3', 'page_number': 1}, score: 0.5587959106841319)]",1.0,0.46679896116256714,1.0,1.0,1.0
Which type of graduate from Imperial earned the second highest average starting salary after graduation?,Computing graduates,Computing,"[Document(id=724eb1fe8da5e0d4da8a448227c2eb83283ae94ad66b58e07296d26274b6a2b4, content: ' In terms of specific course salaries, the Sunday Times ranked Computing graduates from Imperial as ...', meta: {'name': 'Imperial_College_London', 'source_id': '8ff02d910ce681fdd72074b13ed322271625386966ee827dabf1c93ca556fd6e', 'page_number': 1}, score: 0.4505703094141891)]",1.0,0.6075230836868286,1.0,1.0,1.0
In what year did Eisenhower propose his second civil rights act?,1960,1960,"[Document(id=0f23a3d664b2d9d293629ea9d692c835b9a8e93ffb30bc45de463cd9b9d93424, content: ' Therefore, Khrushchev would not take part in the summit. Up until this event, Eisenhower felt he ha...', meta: {'name': 'Dwight_D._Eisenhower', 'source_id': '859016dbddc09f1f2a8921e109d7fed820d1b8f064a73fa80275cba10849cb55', 'page_number': 1}, score: 0.6092619061844369)]",1.0,1.0000001192092896,1.0,1.0,1.0
What is the current height limitation in Paris in central areas?,50 m,50 m (160 ft),"[Document(id=44b4daa4d3c4378951ca880516b3342520595caa477d61e2c5fc88de3627c8f0, content: ' Modern Paris owes much to its late 19th century Second Empire remodelling by the Baron Haussmann: m...', meta: {'name': 'Paris', 'source_id': '52b8f3ebbfb9baf9226768b89151b597c215bb08f28021147d2d798f707976c9', 'page_number': 1}, score: 0.7160253770681686)]",1.0,0.8085941076278687,1.0,1.0,1.0
Income level was found to have a signification correlation to which outcome in the study?,nutrition literacy,rates of growth and investment,"[Document(id=2ceee3158fa42ccc05a00626664d0dc2609f0a02800a7d45c6887dfc6805db72, content: '""
In 1993, Galor and Zeira showed that inequality in the presence of credit market imperfections has...', meta: {'name': 'Economic_inequality', 'source_id': '648ff32b8c146c974b23e115e3a61420b1cdbea9de1f5bf38442ce4c1d9caa42', 'page_number': 1}, score: 0.4526356974935226)]",0.0,0.010820414870977402,0.0,0.0,0.0
How much did Viacom want in damages in their lawsuit against youtube?,$1 billion,$1 billion,"[Document(id=497c11f9fbbfb1f37be3dcd0a29d747c5f8f8967252a25e340b937417a080280, content: ' Three successful complaints for copyright infringement against a user account will result in the ac...', meta: {'name': 'YouTube', 'source_id': '4d18798daeceb997a6dcb04b575dbbdad768671ca9202116370611d944d510be', 'page_number': 1}, score: 0.7380069801719974)]",1.0,1.0,1.0,1.0,1.0
Who should be able to challenge administrative orders in court?,individuals,individuals,"[Document(id=8a0f220e6df4e50504002c6ad6312d289ff774c9c753db65e80fb1022f521be2, content: ' Dicey's: “no man is punishable or can be lawfully made to suffer in body or goods except for a dist...', meta: {'name': 'Rule_of_law', 'source_id': '58b9477525cf8e214cd9a236fe22cc9bfe5e78fda6e2b41433bdb3e30f99d3d2', 'page_number': 1}, score: 0.5930262907390398)]",1.0,1.0,1.0,1.0,1.0
The Slavs were under what name in the early 6th century?,the Antes and the Sclaveni,Balaton Principality,"[Document(id=63d1469ba8c52e953e84a5272412efd96f10761e80271a6f8824c2b695835762, content: '
Around the 6th century, Slavs appeared on Byzantine borders in great numbers.[page needed] The Byza...', meta: {'name': 'Slavs', 'source_id': 'a55731ff3cd03d8fe34d4e646dbfcdc2088f01190e5110c9ff0baf4e4b486847', 'page_number': 1}, score: 0.6527312000201964)]",1.0,0.14623066782951355,1.0,1.0,1.0
